員工編號(EmployeeNumber),性別(Gender),年齡(Age),是否為成年人(Over18),婚姻狀態(MaritalStatus),通勤距離(DistanceFromHome),教育程度(Education),教育專業領域(EducationField),部門(Department),職位名稱(JobRole),職位等級(JobLevel),在該公司工作總年資(YearsAtCompany),在該職位工作年資(YearsInCurrentRole),在該職等工作年資(YearsSinceLastPromotion),與現任管理者工作年資(YearsWithCurrManager),總工作年資(TotalWorkingYears),過去工作公司家數(NumCompaniesWorked),每日工資額(DailyRate),每小時工資額(HourlyRate),月收入(MonthlyIncome),月費率(MonthlyRate),標準工作時間(StandardHours),加班(OverTime),調薪百分比(PercentSalaryHike),股票選擇權等級(StockOptionLevel),績效評估(PerformanceRating),出差頻率(BusinessTravel),去年訓練時間(TrainingTimesLastYear),工作滿意度(JobSatisfaction),工作環境滿意度(EnvironmentSatisfaction),工作投入(JobInvolvement),工作生活平衡(WorkLifeBalance),人際關係滿意度(RelationshipSatisfaction),離職(Attrition)
1464,Male,31,Y,Married,2,3,Life Sciences,Research & Development,Laboratory Technician,1,2,2,2,2,7,6,523,94,3722,21081,80,Yes,13,1,3,Travel_Frequently,2,4,2,3,1,3,Yes
1557,Female,48,Y,Divorced,16,4,Life Sciences,Sales,Sales Executive,2,8,7,7,7,18,8,492,96,6439,13693,80,No,14,1,3,Travel_Rarely,2,3,3,3,3,3,No
1691,Female,48,Y,Married,7,2,Medical,Sales,Sales Representative,1,9,7,7,7,19,2,708,95,2655,11740,80,Yes,11,2,3,Travel_Frequently,3,3,4,3,3,3,Yes
2041,Female,38,Y,Married,10,2,Life Sciences,Sales,Sales Executive,2,10,7,1,9,10,1,345,100,5343,5982,80,No,11,1,3,Travel_Rarely,1,4,1,3,3,3,No
655,Female,27,Y,Divorced,6,4,Medical,Research & Development,Research Scientist,1,5,3,0,3,6,0,798,66,2187,5013,80,No,12,2,3,Travel_Rarely,5,3,1,2,2,3,No
245,Female,38,Y,Single,9,2,Life Sciences,Research & Development,Laboratory Technician,1,2,2,2,1,2,1,1380,75,2288,6319,80,No,12,0,3,Travel_Rarely,3,4,3,3,3,3,No
1029,Male,42,Y,Married,5,2,Marketing,Sales,Manager,5,1,0,0,0,21,6,265,90,18303,7770,80,No,13,0,3,Travel_Rarely,3,3,4,3,4,2,No
1712,Male,45,Y,Married,1,1,Life Sciences,Research & Development,Healthcare Representative,3,23,15,14,4,25,3,1238,74,10748,3395,80,No,23,1,4,Non-Travel,3,3,3,2,2,4,No
507,Female,24,Y,Divorced,10,4,Marketing,Sales,Sales Executive,2,5,2,0,3,5,1,1371,77,4260,5915,80,Yes,12,1,3,Travel_Rarely,2,3,4,3,4,4,No
649,Male,34,Y,Married,1,2,Life Sciences,Research & Development,Research Scientist,1,6,5,1,3,6,1,254,83,3622,22794,80,Yes,13,1,3,Travel_Rarely,3,4,2,2,3,4,No
1083,Male,26,Y,Married,1,2,Medical,Research & Development,Laboratory Technician,1,5,3,1,3,6,1,192,59,3955,11141,80,No,16,2,3,Travel_Rarely,2,1,1,2,3,1,No
1716,Male,47,Y,Married,9,3,Life Sciences,Sales,Sales Executive,4,23,5,14,10,25,7,1093,82,12936,24164,80,No,11,0,3,Travel_Frequently,3,3,3,1,1,3,Yes
1653,Male,25,Y,Divorced,2,1,Life Sciences,Research & Development,Manufacturing Director,2,7,7,0,7,7,1,772,77,5206,4973,80,No,17,2,3,Travel_Frequently,6,3,4,4,3,3,No
466,Male,41,Y,Single,6,3,Medical,Research & Development,Manufacturing Director,2,5,4,1,2,8,6,483,95,6032,10110,80,Yes,15,0,3,Travel_Rarely,3,2,4,2,3,4,No
1657,Female,20,Y,Single,2,3,Medical,Sales,Sales Representative,1,2,2,2,2,2,1,1141,31,2783,13251,80,No,19,0,3,Travel_Rarely,3,3,3,3,3,1,No
608,Female,26,Y,Divorced,17,4,Life Sciences,Human Resources,Human Resources,1,7,7,1,0,8,0,426,58,2741,22808,80,Yes,11,1,3,Travel_Frequently,2,3,2,3,2,2,Yes
785,Female,47,Y,Single,27,2,Life Sciences,Sales,Sales Executive,2,5,4,1,3,8,4,719,77,6397,10339,80,Yes,12,0,3,Travel_Frequently,2,3,2,4,3,4,Yes
792,Female,26,Y,Divorced,1,2,Life Sciences,Research & Development,Laboratory Technician,1,2,2,2,0,5,3,575,71,4364,5288,80,No,14,1,3,Travel_Frequently,2,4,1,1,3,1,No
1640,Female,37,Y,Married,10,3,Medical,Research & Development,Research Scientist,1,8,4,7,7,8,1,1470,71,3936,9953,80,No,11,1,3,Travel_Rarely,2,2,2,3,1,1,No
335,Male,40,Y,Divorced,24,2,Technical Degree,Research & Development,Research Scientist,2,9,8,4,7,9,1,1300,62,3319,24447,80,No,17,2,3,Travel_Rarely,3,4,1,3,3,1,No
1987,Female,25,Y,Married,2,3,Human Resources,Human Resources,Human Resources,1,2,0,1,2,6,4,309,82,2187,19655,80,No,14,0,3,Travel_Rarely,3,2,3,3,3,3,No
1934,Male,47,Y,Married,14,4,Technical Degree,Research & Development,Research Scientist,2,8,7,1,7,16,8,1169,64,5467,2125,80,No,18,1,3,Non-Travel,4,2,3,3,4,3,No
1883,Male,29,Y,Single,7,3,Life Sciences,Research & Development,Laboratory Technician,1,3,2,1,2,11,3,592,59,2062,19384,80,No,14,0,3,Travel_Rarely,2,1,4,3,3,2,No
1585,Female,36,Y,Single,1,4,Life Sciences,Sales,Sales Executive,2,1,0,0,0,15,6,884,73,6815,21447,80,No,13,0,3,Travel_Rarely,5,3,2,3,3,1,No
1478,Male,34,Y,Single,3,3,Other,Sales,Sales Executive,2,13,9,3,12,15,3,1326,81,4759,15891,80,No,18,0,3,Travel_Rarely,2,1,4,1,3,4,No
1965,Male,27,Y,Single,9,3,Marketing,Sales,Sales Executive,2,7,7,0,7,7,1,954,44,4105,5099,80,No,14,0,3,Travel_Rarely,5,4,4,3,3,1,No
722,Male,32,Y,Single,10,3,Marketing,Sales,Sales Executive,2,10,7,0,8,10,1,929,55,5396,21703,80,No,12,0,3,Travel_Rarely,2,4,4,3,2,4,No
1606,Male,50,Y,Married,20,5,Medical,Research & Development,Healthcare Representative,4,30,8,12,13,32,2,1234,41,11245,20689,80,Yes,15,1,3,Travel_Frequently,3,3,2,3,3,3,No
1179,Male,30,Y,Married,10,3,Marketing,Sales,Sales Executive,2,10,3,1,4,10,1,852,72,6578,2706,80,No,18,1,3,Travel_Rarely,3,3,3,2,3,1,No
494,Female,21,Y,Single,12,3,Life Sciences,Sales,Sales Representative,1,1,0,0,0,1,1,156,90,2716,25422,80,No,15,0,3,Travel_Rarely,0,2,3,4,3,4,Yes
72,Female,26,Y,Married,23,3,Marketing,Sales,Sales Executive,2,2,2,0,0,5,7,1443,47,4157,21436,80,Yes,19,1,3,Travel_Rarely,2,4,3,2,2,3,No
844,Male,27,Y,Divorced,5,1,Technical Degree,Research & Development,Research Director,3,9,8,0,8,9,1,269,42,12808,8842,80,Yes,16,1,3,Travel_Rarely,3,4,3,2,3,2,No
754,Male,43,Y,Married,15,3,Life Sciences,Sales,Sales Executive,2,2,2,2,2,7,3,775,47,6804,23683,80,No,18,1,3,Travel_Frequently,5,4,4,2,3,3,No
426,Male,31,Y,Divorced,2,4,Life Sciences,Research & Development,Research Scientist,1,2,2,2,2,3,0,192,32,2695,7747,80,Yes,18,1,3,Travel_Rarely,2,4,3,3,1,2,No
1554,Female,35,Y,Married,28,4,Life Sciences,Sales,Sales Representative,1,5,3,4,2,6,0,1402,98,2430,26204,80,No,23,2,4,Travel_Rarely,5,3,2,2,3,1,No
144,Female,22,Y,Single,15,3,Medical,Research & Development,Laboratory Technician,1,0,0,0,0,1,1,534,59,2871,23785,80,No,15,0,3,Travel_Rarely,5,4,2,3,3,3,No
1703,Female,44,Y,Married,2,3,Life Sciences,Research & Development,Healthcare Representative,3,8,7,6,7,9,1,921,96,7879,14810,80,Yes,19,1,3,Travel_Rarely,2,4,3,4,3,2,No
133,Male,37,Y,Divorced,6,4,Human Resources,Human Resources,Human Resources,1,3,2,0,2,7,4,807,63,2073,23648,80,Yes,22,0,4,Travel_Rarely,3,1,3,3,3,4,Yes
551,Female,42,Y,Married,28,4,Technical Degree,Research & Development,Healthcare Representative,2,6,5,0,4,7,0,1368,88,4523,4386,80,No,11,3,3,Travel_Frequently,4,4,4,2,4,4,No
894,Female,42,Y,Married,3,3,Life Sciences,Research & Development,Laboratory Technician,2,5,3,1,3,17,2,1265,95,5231,23726,80,Yes,13,1,3,Travel_Rarely,1,4,3,4,2,2,No
367,Male,31,Y,Married,23,3,Medical,Research & Development,Healthcare Representative,2,9,0,7,8,10,0,1463,64,5582,14408,80,No,21,1,4,Travel_Rarely,2,4,2,2,3,2,No
1221,Male,36,Y,Divorced,6,4,Life Sciences,Research & Development,Laboratory Technician,1,7,7,1,7,7,1,917,60,2741,6865,80,No,14,1,3,Travel_Rarely,4,3,3,1,3,3,No
405,Male,18,Y,Single,3,3,Life Sciences,Research & Development,Laboratory Technician,1,0,0,0,0,0,1,230,54,1420,25233,80,No,13,0,3,Travel_Rarely,2,3,3,3,3,3,Yes
746,Female,47,Y,Divorced,3,3,Medical,Sales,Sales Executive,4,22,2,11,13,28,9,217,49,13770,10225,80,Yes,12,2,3,Travel_Frequently,2,3,4,3,2,4,No
1265,Female,34,Y,Married,20,3,Technical Degree,Research & Development,Research Scientist,1,1,0,0,0,2,0,1320,89,2585,21643,80,No,17,0,3,Travel_Rarely,5,3,3,4,2,4,No
940,Female,58,Y,Divorced,5,3,Technical Degree,Research & Development,Healthcare Representative,3,6,0,0,4,24,2,1272,37,10552,9255,80,Yes,13,1,3,Travel_Rarely,3,2,3,2,3,4,No
501,Female,36,Y,Married,2,3,Life Sciences,Research & Development,Research Scientist,1,2,2,2,2,6,4,329,96,2543,11868,80,No,13,1,3,Travel_Rarely,3,3,4,3,3,2,No
392,Male,44,Y,Divorced,24,3,Life Sciences,Research & Development,Laboratory Technician,1,1,0,0,0,19,3,920,43,3161,19920,80,Yes,22,1,4,Travel_Frequently,0,3,4,3,1,4,Yes
1985,Female,40,Y,Married,11,3,Technical Degree,Research & Development,Laboratory Technician,2,10,9,9,4,10,1,692,73,6323,26849,80,No,11,1,3,Travel_Frequently,2,3,4,3,4,1,No
1969,Female,54,Y,Married,9,2,Life Sciences,Research & Development,Research Scientist,2,4,3,2,3,9,3,155,67,2897,22474,80,No,11,2,3,Travel_Rarely,6,3,1,3,2,3,No
165,Female,58,Y,Married,23,4,Medical,Research & Development,Healthcare Representative,3,40,10,15,6,40,1,147,94,10312,3465,80,No,12,1,3,Travel_Rarely,3,4,4,3,2,4,Yes
1702,Male,23,Y,Divorced,7,3,Life Sciences,Sales,Sales Representative,1,3,2,0,2,3,1,427,99,2275,25103,80,Yes,21,1,4,Travel_Rarely,2,4,3,3,3,2,Yes
399,Female,31,Y,Divorced,5,3,Marketing,Sales,Sales Representative,1,2,2,2,2,2,1,444,84,2789,3909,80,No,11,1,3,Travel_Frequently,5,2,4,3,2,3,No
724,Female,38,Y,Single,1,4,Life Sciences,Research & Development,Healthcare Representative,2,9,7,1,8,10,0,827,33,7625,19383,80,No,13,0,3,Travel_Rarely,4,4,2,4,2,3,No
1638,Female,38,Y,Married,2,2,Medical,Research & Development,Manufacturing Director,3,5,4,0,2,10,3,397,54,7756,14199,80,Yes,19,1,3,Travel_Rarely,6,3,4,2,4,4,No
930,Female,28,Y,Divorced,9,3,Medical,Research & Development,Research Scientist,1,2,2,2,2,6,5,995,77,2377,9834,80,No,18,1,3,Travel_Rarely,2,3,3,3,3,2,No
476,Male,26,Y,Married,1,3,Life Sciences,Sales,Sales Executive,2,8,7,7,7,8,1,933,57,5296,20156,80,No,17,1,3,Travel_Rarely,3,3,3,3,3,2,No
233,Male,27,Y,Married,17,3,Technical Degree,Research & Development,Research Scientist,1,5,2,1,1,6,0,1157,51,3058,13364,80,Yes,16,1,3,Travel_Rarely,3,2,3,3,2,4,No
2038,Male,32,Y,Single,2,3,Technical Degree,Research & Development,Research Scientist,1,4,2,1,2,4,1,529,78,2439,11288,80,No,14,0,3,Travel_Rarely,4,1,4,3,3,4,No
1196,Female,37,Y,Married,1,3,Life Sciences,Research & Development,Manufacturing Director,2,14,8,3,11,14,1,977,56,6474,9961,80,No,13,1,3,Travel_Rarely,2,4,4,2,2,2,No
1650,Male,29,Y,Single,10,3,Medical,Sales,Sales Executive,2,5,2,1,4,8,9,469,42,5869,23413,80,No,11,0,3,Travel_Rarely,2,3,3,2,3,3,No
288,Male,46,Y,Divorced,1,4,Medical,Research & Development,Healthcare Representative,3,4,2,0,3,17,7,644,97,9396,12368,80,No,16,1,3,Travel_Rarely,3,1,4,3,3,3,No
1614,Female,36,Y,Married,12,4,Life Sciences,Research & Development,Manufacturing Director,2,3,2,1,1,7,9,559,76,4663,12421,80,Yes,12,2,3,Travel_Rarely,2,3,3,3,3,2,No
190,Female,32,Y,Single,9,3,Medical,Research & Development,Laboratory Technician,1,5,4,0,4,10,7,1033,41,4200,10224,80,No,22,0,4,Travel_Rarely,2,1,1,3,4,1,Yes
1609,Male,30,Y,Married,7,3,Medical,Research & Development,Research Scientist,1,6,4,1,1,6,1,241,48,2141,5348,80,No,12,1,3,Travel_Rarely,3,2,2,2,2,2,No
1324,Female,31,Y,Divorced,2,4,Life Sciences,Sales,Sales Executive,3,10,8,9,6,10,1,587,57,9852,8935,80,Yes,19,1,3,Non-Travel,5,3,4,3,2,1,No
1823,Male,34,Y,Married,8,2,Technical Degree,Sales,Sales Executive,2,10,8,4,8,10,1,810,92,6799,22128,80,No,21,2,4,Travel_Rarely,5,3,2,4,3,3,No
1642,Male,44,Y,Married,1,5,Human Resources,Human Resources,Human Resources,2,10,7,0,2,14,4,602,37,5743,10503,80,Yes,11,0,3,Travel_Frequently,3,4,1,3,3,3,No
918,Male,58,Y,Divorced,2,1,Life Sciences,Research & Development,Laboratory Technician,1,1,0,0,0,3,9,781,57,2380,13384,80,Yes,14,1,3,Travel_Frequently,3,4,4,2,2,4,Yes
1333,Male,44,Y,Married,3,3,Life Sciences,Research & Development,Laboratory Technician,1,3,2,1,2,10,4,935,89,2362,14669,80,No,12,0,3,Travel_Rarely,4,1,1,3,4,3,Yes
1912,Female,31,Y,Divorced,10,2,Medical,Sales,Sales Executive,2,5,2,1,4,8,2,1079,86,6583,20115,80,Yes,11,1,3,Travel_Rarely,2,4,3,3,3,4,No
273,Male,38,Y,Married,29,3,Technical Degree,Research & Development,Manufacturing Director,2,7,7,1,7,9,3,1084,54,6261,4185,80,No,18,1,3,Travel_Rarely,3,4,4,3,1,1,No
854,Male,25,Y,Single,2,1,Medical,Research & Development,Research Scientist,1,4,3,0,1,6,7,180,65,3424,21632,80,No,13,0,3,Travel_Rarely,3,1,1,4,2,3,No
826,Female,35,Y,Single,1,4,Life Sciences,Research & Development,Research Scientist,1,2,2,2,2,7,3,1258,40,2506,13301,80,No,13,0,3,Travel_Rarely,0,3,4,4,3,3,No
949,Male,36,Y,Single,7,4,Other,Research & Development,Research Scientist,1,6,2,0,1,8,2,188,65,4678,23293,80,No,18,0,3,Travel_Rarely,6,4,2,3,3,3,No
2024,Female,36,Y,Married,3,3,Medical,Sales,Sales Executive,3,9,7,3,4,10,0,557,94,7644,12695,80,No,19,2,3,Travel_Rarely,2,4,1,2,3,3,No
1812,Male,39,Y,Divorced,20,3,Life Sciences,Sales,Sales Executive,2,2,1,2,2,7,2,766,83,4127,19188,80,No,18,1,3,Travel_Frequently,6,4,3,3,3,4,No
14,Male,35,Y,Married,16,3,Medical,Research & Development,Laboratory Technician,1,5,4,0,3,6,0,809,84,2426,16479,80,No,13,1,3,Travel_Rarely,5,2,1,4,3,3,No
199,Male,41,Y,Divorced,10,3,Life Sciences,Research & Development,Manager,4,7,6,7,7,21,4,857,91,17181,12888,80,No,13,1,3,Travel_Frequently,2,1,4,2,2,2,No
967,Male,36,Y,Married,3,1,Life Sciences,Sales,Sales Executive,3,16,7,3,7,16,1,530,51,10325,5518,80,Yes,11,1,3,Travel_Rarely,6,4,3,2,3,1,Yes
388,Male,29,Y,Single,2,2,Life Sciences,Sales,Sales Executive,2,10,7,0,9,10,1,442,44,4554,20260,80,No,18,0,3,Travel_Frequently,3,4,2,3,2,1,No
407,Male,36,Y,Married,18,4,Life Sciences,Research & Development,Laboratory Technician,1,1,0,0,0,4,4,566,81,3688,7122,80,No,18,2,3,Travel_Frequently,2,4,3,4,3,4,No
817,Male,33,Y,Married,7,3,Medical,Research & Development,Research Director,3,13,9,3,7,14,0,213,49,11691,25995,80,No,11,0,3,Travel_Rarely,3,3,3,3,4,4,No
397,Male,36,Y,Single,3,3,Technical Degree,Research & Development,Research Scientist,2,8,0,7,7,10,4,506,30,4485,26285,80,No,12,0,3,Travel_Rarely,2,2,3,3,3,4,No
634,Female,38,Y,Married,10,3,Medical,Research & Development,Healthcare Representative,2,1,0,0,0,18,3,1495,76,9824,22174,80,No,19,1,3,Travel_Rarely,4,3,3,3,3,3,No
